tipo_dato;fecha_hora;detalle_dato;nivel_sensibilidad;id_empresa
ACTIVIDAD;4/11/2026 2:00;Accion: Busqueda, Objetivo: Perfil;BAJO;2
ACTIVIDAD;6/16/2025 22:08;Accion: Login, Objetivo: Producto;MEDIO;3
UBICACION;10/19/2025 17:48;Lat: 40.0053, Lon: -2.5829;BAJO;1
UBICACION;7/1/2025 13:05;Lat: 36.5790, Lon: -7.2261;BAJO;3
UBICACION;7/26/2025 6:17;Lat: 39.7521, Lon: -3.0116;MEDIO;1
ACTIVIDAD;7/8/2025 20:48;Accion: Compra, Objetivo: Producto;MEDIO;3
ACTIVIDAD;7/7/2025 15:33;Accion: Logout, Objetivo: Sistema;ALTO;2
ACTIVIDAD;2/13/2026 1:56;Accion: Login, Objetivo: Producto;ALTO;3
UBICACION;6/15/2025 19:43;Lat: 42.6038, Lon: -1.5038;MEDIO;1
UBICACION;8/26/2025 12:04;Lat: 42.4787, Lon: -6.3446;ALTO;2
UBICACION;7/19/2025 20:20;Lat: 38.9855, Lon: -0.1784;ALTO;2
UBICACION;11/4/2025 23:49;Lat: 40.8707, Lon: 1.7315;MEDIO;1
UBICACION;1/17/2026 1:48;Lat: 39.6718, Lon: -7.2190;MEDIO;1
ACTIVIDAD;6/14/2025 6:17;Accion: Compra, Objetivo: Sistema;ALTO;1
ACTIVIDAD;1/16/2026 23:34;Accion: Busqueda, Objetivo: Producto;ALTO;2
UBICACION;1/19/2026 17:20;Lat: 36.0394, Lon: -6.4329;MEDIO;1
UBICACION;11/29/2025 1:00;Lat: 41.1234, Lon: -5.5452;ALTO;2
ACTIVIDAD;4/25/2026 4:18;Accion: Busqueda, Objetivo: Sistema;MEDIO;2
UBICACION;10/16/2025 11:49;Lat: 38.1222, Lon: 2.0324;ALTO;3
ACTIVIDAD;1/8/2026 13:38;Accion: Compra, Objetivo: Sistema;ALTO;1
UBICACION;3/8/2026 23:40;Lat: 39.1379, Lon: -5.4559;MEDIO;1
UBICACION;3/27/2026 15:23;Lat: 38.2436, Lon: -4.7109;MEDIO;3
UBICACION;4/14/2026 19:53;Lat: 41.7843, Lon: -3.1194;MEDIO;1
ACTIVIDAD;1/22/2026 23:57;Accion: Logout, Objetivo: Sistema;ALTO;2
ACTIVIDAD;3/25/2026 12:03;Accion: Logout, Objetivo: Producto;BAJO;1
ACTIVIDAD;8/20/2025 2:21;Accion: Busqueda, Objetivo: Perfil;MEDIO;3
ACTIVIDAD;6/14/2025 2:15;Accion: Login, Objetivo: Perfil;ALTO;1
UBICACION;8/4/2025 20:45;Lat: 36.4321, Lon: -7.7149;MEDIO;2
ACTIVIDAD;11/13/2025 7:57;Accion: Login, Objetivo: Producto;ALTO;2
UBICACION;4/10/2026 8:53;Lat: 42.0408, Lon: 1.6581;ALTO;1
ACTIVIDAD;9/2/2025 12:38;Accion: Logout, Objetivo: Producto;ALTO;2
ACTIVIDAD;4/22/2026 15:51;Accion: Login, Objetivo: Sistema;ALTO;2
ACTIVIDAD;10/4/2025 15:28;Accion: Busqueda, Objetivo: Sistema;BAJO;1
ACTIVIDAD;10/29/2025 10:19;Accion: Login, Objetivo: Sistema;BAJO;3
ACTIVIDAD;5/1/2026 14:52;Accion: Compra, Objetivo: Perfil;ALTO;2
ACTIVIDAD;6/5/2025 21:53;Accion: Busqueda, Objetivo: Sistema;ALTO;1
ACTIVIDAD;11/1/2025 19:21;Accion: Login, Objetivo: Producto;BAJO;1
UBICACION;12/12/2025 1:15;Lat: 37.5494, Lon: -2.2282;ALTO;1
UBICACION;2/7/2026 11:13;Lat: 40.8057, Lon: -0.1319;ALTO;2
ACTIVIDAD;10/8/2025 20:15;Accion: Login, Objetivo: Sistema;ALTO;3
UBICACION;6/16/2025 0:25;Lat: 40.1143, Lon: -5.4343;ALTO;3
ACTIVIDAD;4/5/2026 2:16;Accion: Compra, Objetivo: Perfil;MEDIO;1
ACTIVIDAD;6/4/2025 15:05;Accion: Compra, Objetivo: Sistema;MEDIO;3
ACTIVIDAD;4/14/2026 6:21;Accion: Busqueda, Objetivo: Perfil;BAJO;3
ACTIVIDAD;10/5/2025 21:20;Accion: Login, Objetivo: Perfil;BAJO;2
ACTIVIDAD;5/21/2025 0:37;Accion: Login, Objetivo: Producto;MEDIO;1
ACTIVIDAD;1/11/2026 10:12;Accion: Compra, Objetivo: Sistema;ALTO;3
ACTIVIDAD;6/23/2025 0:01;Accion: Busqueda, Objetivo: Perfil;BAJO;1
UBICACION;1/17/2026 4:08;Lat: 38.2961, Lon: 1.9554;MEDIO;2
ACTIVIDAD;9/8/2025 13:34;Accion: Logout, Objetivo: Perfil;ALTO;1
UBICACION;11/17/2025 9:18;Lat: 37.0212, Lon: -2.0527;ALTO;1
ACTIVIDAD;6/13/2025 1:01;Accion: Login, Objetivo: Perfil;ALTO;3
UBICACION;2/20/2026 18:17;Lat: 36.2053, Lon: 2.6505;MEDIO;1
ACTIVIDAD;11/2/2025 13:50;Accion: Login, Objetivo: Perfil;ALTO;2
ACTIVIDAD;4/16/2026 11:47;Accion: Login, Objetivo: Sistema;ALTO;2
ACTIVIDAD;10/5/2025 17:06;Accion: Logout, Objetivo: Sistema;MEDIO;1
ACTIVIDAD;1/21/2026 19:16;Accion: Compra, Objetivo: Sistema;BAJO;3
ACTIVIDAD;4/13/2026 10:15;Accion: Logout, Objetivo: Producto;BAJO;2
ACTIVIDAD;4/30/2026 7:37;Accion: Login, Objetivo: Sistema;MEDIO;3
ACTIVIDAD;3/11/2026 18:37;Accion: Busqueda, Objetivo: Perfil;BAJO;3
UBICACION;6/30/2025 0:40;Lat: 37.9023, Lon: 1.6249;ALTO;1
ACTIVIDAD;3/18/2026 14:52;Accion: Busqueda, Objetivo: Sistema;MEDIO;1
UBICACION;8/24/2025 6:58;Lat: 41.4454, Lon: -2.0480;ALTO;3
ACTIVIDAD;3/1/2026 6:29;Accion: Login, Objetivo: Sistema;BAJO;2
UBICACION;6/4/2025 20:01;Lat: 39.1923, Lon: -5.4934;MEDIO;2
ACTIVIDAD;9/10/2025 14:28;Accion: Logout, Objetivo: Perfil;BAJO;1
UBICACION;8/28/2025 0:42;Lat: 42.9808, Lon: -5.4917;BAJO;3
ACTIVIDAD;9/26/2025 10:35;Accion: Busqueda, Objetivo: Sistema;BAJO;1
UBICACION;9/4/2025 19:25;Lat: 37.3931, Lon: -0.3829;BAJO;3
UBICACION;6/9/2025 4:55;Lat: 41.4812, Lon: 2.4979;BAJO;1
UBICACION;7/26/2025 5:57;Lat: 42.6991, Lon: -3.2973;BAJO;3
UBICACION;9/23/2025 3:17;Lat: 36.7967, Lon: -6.8666;MEDIO;1
UBICACION;3/16/2026 9:48;Lat: 40.3595, Lon: -1.0041;BAJO;2
ACTIVIDAD;5/22/2025 6:34;Accion: Logout, Objetivo: Sistema;BAJO;2
ACTIVIDAD;8/6/2025 17:16;Accion: Login, Objetivo: Producto;MEDIO;2
UBICACION;9/18/2025 13:30;Lat: 42.5629, Lon: -7.0563;MEDIO;2
ACTIVIDAD;6/23/2025 2:00;Accion: Compra, Objetivo: Producto;MEDIO;2
ACTIVIDAD;9/28/2025 18:25;Accion: Compra, Objetivo: Perfil;ALTO;2
ACTIVIDAD;7/28/2025 1:04;Accion: Logout, Objetivo: Perfil;MEDIO;3
ACTIVIDAD;7/27/2025 4:28;Accion: Logout, Objetivo: Producto;MEDIO;2
ACTIVIDAD;10/3/2025 9:29;Accion: Logout, Objetivo: Perfil;ALTO;1
UBICACION;2/2/2026 16:46;Lat: 37.9056, Lon: -0.4898;BAJO;1
ACTIVIDAD;10/2/2025 4:22;Accion: Login, Objetivo: Producto;ALTO;2
UBICACION;6/10/2025 12:05;Lat: 38.9807, Lon: -6.9319;MEDIO;1
UBICACION;4/28/2026 16:57;Lat: 40.9729, Lon: -1.8696;ALTO;1
UBICACION;12/16/2025 22:36;Lat: 36.8160, Lon: -4.9376;BAJO;2
UBICACION;6/23/2025 20:07;Lat: 42.6822, Lon: -1.7169;MEDIO;1
UBICACION;6/18/2025 9:17;Lat: 41.1911, Lon: -7.5965;MEDIO;2
UBICACION;10/3/2025 23:57;Lat: 38.3667, Lon: -6.6472;ALTO;2
ACTIVIDAD;1/10/2026 7:26;Accion: Busqueda, Objetivo: Sistema;BAJO;3
UBICACION;8/10/2025 10:50;Lat: 36.9007, Lon: -6.1400;BAJO;2
ACTIVIDAD;10/24/2025 0:37;Accion: Busqueda, Objetivo: Sistema;ALTO;2
UBICACION;12/27/2025 0:27;Lat: 40.4653, Lon: -4.7628;ALTO;3
ACTIVIDAD;7/12/2025 18:27;Accion: Logout, Objetivo: Producto;BAJO;2
ACTIVIDAD;2/2/2026 3:50;Accion: Compra, Objetivo: Perfil;ALTO;2
UBICACION;9/5/2025 5:03;Lat: 36.1539, Lon: -2.6977;BAJO;3
ACTIVIDAD;3/8/2026 10:54;Accion: Compra, Objetivo: Sistema;ALTO;1
ACTIVIDAD;8/28/2025 20:25;Accion: Logout, Objetivo: Producto;BAJO;1
ACTIVIDAD;11/5/2025 16:00;Accion: Logout, Objetivo: Producto;ALTO;3
ACTIVIDAD;3/7/2026 19:37;Accion: Busqueda, Objetivo: Producto;ALTO;2
UBICACION;5/30/2025 16:10;Lat: 41.5975, Lon: 2.6488;ALTO;2
ACTIVIDAD;10/29/2025 22:20;Accion: Compra, Objetivo: Sistema;ALTO;2
UBICACION;11/11/2025 5:57;Lat: 42.3553, Lon: 1.2526;BAJO;2
UBICACION;10/15/2025 21:25;Lat: 36.8904, Lon: 0.9038;MEDIO;3
ACTIVIDAD;5/21/2025 16:21;Accion: Login, Objetivo: Sistema;ALTO;2
ACTIVIDAD;3/28/2026 2:39;Accion: Busqueda, Objetivo: Producto;ALTO;3
ACTIVIDAD;5/12/2026 1:12;Accion: Logout, Objetivo: Producto;ALTO;3
UBICACION;5/17/2025 7:38;Lat: 42.6069, Lon: -6.8965;MEDIO;1
UBICACION;4/19/2026 18:23;Lat: 42.6241, Lon: 0.3571;ALTO;3
UBICACION;9/19/2025 11:18;Lat: 40.5303, Lon: -7.1707;BAJO;1
ACTIVIDAD;6/9/2025 17:38;Accion: Busqueda, Objetivo: Sistema;MEDIO;2
ACTIVIDAD;8/18/2025 6:56;Accion: Logout, Objetivo: Sistema;ALTO;1
ACTIVIDAD;2/13/2026 19:52;Accion: Logout, Objetivo: Sistema;MEDIO;2
ACTIVIDAD;7/3/2025 18:19;Accion: Logout, Objetivo: Perfil;ALTO;2
ACTIVIDAD;12/21/2025 13:45;Accion: Login, Objetivo: Producto;BAJO;2
UBICACION;7/1/2025 23:52;Lat: 41.6052, Lon: -5.5448;MEDIO;2
UBICACION;1/13/2026 2:39;Lat: 39.5641, Lon: 0.4741;BAJO;1
ACTIVIDAD;7/24/2025 18:50;Accion: Logout, Objetivo: Producto;ALTO;3
ACTIVIDAD;10/27/2025 14:38;Accion: Compra, Objetivo: Perfil;MEDIO;3
ACTIVIDAD;12/17/2025 17:34;Accion: Login, Objetivo: Perfil;ALTO;1
ACTIVIDAD;7/15/2025 12:09;Accion: Compra, Objetivo: Producto;BAJO;1
ACTIVIDAD;3/25/2026 6:49;Accion: Login, Objetivo: Sistema;BAJO;1
ACTIVIDAD;1/13/2026 23:00;Accion: Busqueda, Objetivo: Sistema;ALTO;1
UBICACION;6/27/2025 1:14;Lat: 38.8545, Lon: -4.8397;ALTO;2
UBICACION;12/11/2025 19:32;Lat: 40.6648, Lon: -6.7601;ALTO;3
UBICACION;7/15/2025 9:25;Lat: 37.9759, Lon: 0.9701;ALTO;2
UBICACION;11/3/2025 0:45;Lat: 40.7982, Lon: -8.5526;BAJO;1
UBICACION;1/22/2026 6:35;Lat: 42.5491, Lon: 1.7823;ALTO;1
ACTIVIDAD;10/23/2025 12:08;Accion: Busqueda, Objetivo: Producto;ALTO;1
UBICACION;2/17/2026 21:41;Lat: 39.5061, Lon: -2.8413;ALTO;1
ACTIVIDAD;6/22/2025 14:43;Accion: Compra, Objetivo: Sistema;BAJO;2
ACTIVIDAD;3/17/2026 17:47;Accion: Logout, Objetivo: Sistema;BAJO;1
ACTIVIDAD;10/27/2025 20:30;Accion: Compra, Objetivo: Producto;MEDIO;2
UBICACION;6/5/2025 7:15;Lat: 39.0597, Lon: 0.7093;MEDIO;3
UBICACION;3/27/2026 14:28;Lat: 40.9847, Lon: -4.8977;ALTO;3
ACTIVIDAD;10/6/2025 16:47;Accion: Compra, Objetivo: Producto;BAJO;3
ACTIVIDAD;3/9/2026 23:04;Accion: Compra, Objetivo: Perfil;MEDIO;2
ACTIVIDAD;3/19/2026 9:14;Accion: Login, Objetivo: Producto;MEDIO;3
ACTIVIDAD;7/31/2025 12:08;Accion: Busqueda, Objetivo: Perfil;MEDIO;1
ACTIVIDAD;2/17/2026 21:13;Accion: Login, Objetivo: Perfil;ALTO;3
UBICACION;6/11/2025 18:42;Lat: 38.8474, Lon: -8.7808;BAJO;2
ACTIVIDAD;2/1/2026 10:17;Accion: Logout, Objetivo: Producto;MEDIO;1
ACTIVIDAD;3/18/2026 21:45;Accion: Compra, Objetivo: Sistema;ALTO;2
UBICACION;1/28/2026 15:07;Lat: 42.4351, Lon: -3.6711;BAJO;1
ACTIVIDAD;5/1/2026 8:51;Accion: Busqueda, Objetivo: Producto;MEDIO;1
UBICACION;3/24/2026 13:39;Lat: 39.2703, Lon: -5.3507;ALTO;2
UBICACION;6/18/2025 16:54;Lat: 37.7979, Lon: 0.1783;MEDIO;3
ACTIVIDAD;10/14/2025 15:15;Accion: Compra, Objetivo: Producto;MEDIO;2
ACTIVIDAD;3/25/2026 1:16;Accion: Logout, Objetivo: Sistema;BAJO;3
ACTIVIDAD;1/14/2026 4:48;Accion: Login, Objetivo: Sistema;MEDIO;2
ACTIVIDAD;5/11/2026 3:20;Accion: Busqueda, Objetivo: Sistema;MEDIO;3
UBICACION;8/22/2025 3:46;Lat: 37.8020, Lon: -8.4974;MEDIO;3
UBICACION;10/2/2025 3:42;Lat: 37.4761, Lon: -1.3738;ALTO;2
ACTIVIDAD;9/30/2025 7:29;Accion: Compra, Objetivo: Perfil;MEDIO;1
ACTIVIDAD;7/3/2025 13:01;Accion: Login, Objetivo: Producto;MEDIO;3
ACTIVIDAD;4/18/2026 20:23;Accion: Login, Objetivo: Perfil;BAJO;2
ACTIVIDAD;4/10/2026 19:19;Accion: Busqueda, Objetivo: Sistema;BAJO;1
UBICACION;7/9/2025 1:59;Lat: 37.6202, Lon: -2.0994;MEDIO;2
UBICACION;7/29/2025 3:18;Lat: 39.4505, Lon: 1.0071;BAJO;1
ACTIVIDAD;3/22/2026 18:30;Accion: Login, Objetivo: Producto;ALTO;2
ACTIVIDAD;7/9/2025 9:31;Accion: Busqueda, Objetivo: Producto;MEDIO;1
UBICACION;4/21/2026 12:40;Lat: 37.9396, Lon: -2.4526;MEDIO;1
ACTIVIDAD;1/19/2026 12:05;Accion: Busqueda, Objetivo: Perfil;ALTO;2
UBICACION;9/15/2025 12:01;Lat: 41.1174, Lon: 0.3554;MEDIO;2
ACTIVIDAD;2/10/2026 11:56;Accion: Login, Objetivo: Sistema;ALTO;3
ACTIVIDAD;5/16/2025 13:10;Accion: Login, Objetivo: Sistema;BAJO;1
ACTIVIDAD;9/2/2025 16:19;Accion: Busqueda, Objetivo: Sistema;BAJO;3
ACTIVIDAD;3/14/2026 9:03;Accion: Busqueda, Objetivo: Sistema;MEDIO;3
ACTIVIDAD;1/12/2026 1:38;Accion: Logout, Objetivo: Perfil;MEDIO;2
UBICACION;11/25/2025 18:58;Lat: 38.6271, Lon: -5.8236;BAJO;3
ACTIVIDAD;6/18/2025 11:51;Accion: Busqueda, Objetivo: Sistema;ALTO;2
UBICACION;12/5/2025 20:12;Lat: 42.2257, Lon: 1.5230;MEDIO;1
ACTIVIDAD;3/1/2026 8:48;Accion: Busqueda, Objetivo: Perfil;MEDIO;3
ACTIVIDAD;2/26/2026 5:26;Accion: Compra, Objetivo: Producto;MEDIO;1
ACTIVIDAD;12/10/2025 16:28;Accion: Compra, Objetivo: Perfil;MEDIO;2
UBICACION;10/25/2025 18:40;Lat: 42.5962, Lon: 2.4664;ALTO;3
UBICACION;7/25/2025 0:43;Lat: 41.8844, Lon: -3.1122;MEDIO;1
UBICACION;12/11/2025 18:11;Lat: 38.9687, Lon: -2.8694;BAJO;3
UBICACION;2/7/2026 0:00;Lat: 39.4727, Lon: -4.9225;BAJO;1
ACTIVIDAD;2/2/2026 14:39;Accion: Login, Objetivo: Sistema;ALTO;3
UBICACION;10/8/2025 16:58;Lat: 37.5602, Lon: 1.3939;BAJO;2
ACTIVIDAD;5/18/2025 23:43;Accion: Login, Objetivo: Sistema;BAJO;1
UBICACION;6/16/2025 15:35;Lat: 36.2988, Lon: -5.1436;MEDIO;2
ACTIVIDAD;1/11/2026 6:59;Accion: Login, Objetivo: Producto;BAJO;2
UBICACION;12/10/2025 17:45;Lat: 41.7953, Lon: -3.8563;BAJO;3
UBICACION;11/1/2025 2:18;Lat: 37.6941, Lon: -2.1211;ALTO;2
UBICACION;7/22/2025 12:53;Lat: 41.3265, Lon: 1.0026;MEDIO;1
ACTIVIDAD;5/27/2025 13:17;Accion: Compra, Objetivo: Producto;MEDIO;1
ACTIVIDAD;3/11/2026 8:07;Accion: Compra, Objetivo: Sistema;MEDIO;1
UBICACION;4/21/2026 19:33;Lat: 38.2906, Lon: -5.7764;ALTO;3
ACTIVIDAD;9/15/2025 21:23;Accion: Compra, Objetivo: Producto;MEDIO;2
UBICACION;2/4/2026 0:09;Lat: 42.4617, Lon: -2.8595;ALTO;2
UBICACION;11/1/2025 15:38;Lat: 37.0712, Lon: 0.5087;BAJO;3
UBICACION;9/8/2025 14:08;Lat: 38.6948, Lon: 0.9740;MEDIO;1
UBICACION;12/24/2025 3:26;Lat: 37.4694, Lon: -0.8500;ALTO;3
UBICACION;7/6/2025 17:03;Lat: 42.8749, Lon: -3.1387;MEDIO;1
UBICACION;10/23/2025 2:15;Lat: 39.4267, Lon: -2.2595;BAJO;1
UBICACION;9/25/2025 21:58;Lat: 37.6558, Lon: -7.5329;MEDIO;3
ACTIVIDAD;8/5/2025 22:54;Accion: Login, Objetivo: Producto;ALTO;3
UBICACION;3/18/2026 10:10;Lat: 38.5422, Lon: 1.3067;BAJO;1
ACTIVIDAD;6/2/2025 14:00;Accion: Login, Objetivo: Perfil;BAJO;2
ACTIVIDAD;3/22/2026 1:47;Accion: Logout, Objetivo: Perfil;ALTO;1
UBICACION;10/3/2025 15:07;Lat: 41.0732, Lon: -1.8804;BAJO;1
ACTIVIDAD;3/25/2026 4:36;Accion: Logout, Objetivo: Producto;BAJO;2
ACTIVIDAD;2/22/2026 7:58;Accion: Logout, Objetivo: Sistema;BAJO;3
UBICACION;8/28/2025 23:39;Lat: 40.2598, Lon: -0.8844;ALTO;3
ACTIVIDAD;1/19/2026 14:39;Accion: Busqueda, Objetivo: Producto;BAJO;2
UBICACION;4/14/2026 23:45;Lat: 38.1213, Lon: -1.4074;ALTO;2
UBICACION;7/19/2025 19:58;Lat: 39.8341, Lon: -3.6541;MEDIO;2
ACTIVIDAD;9/21/2025 15:20;Accion: Busqueda, Objetivo: Sistema;ALTO;1
ACTIVIDAD;10/23/2025 0:09;Accion: Login, Objetivo: Sistema;ALTO;1
ACTIVIDAD;5/19/2025 17:42;Accion: Logout, Objetivo: Perfil;BAJO;1
UBICACION;2/16/2026 11:36;Lat: 40.5447, Lon: -4.8471;MEDIO;2
UBICACION;4/9/2026 4:14;Lat: 42.8990, Lon: 1.7751;MEDIO;2
ACTIVIDAD;10/27/2025 3:40;Accion: Login, Objetivo: Perfil;BAJO;2
ACTIVIDAD;2/11/2026 10:53;Accion: Logout, Objetivo: Producto;MEDIO;1
UBICACION;2/11/2026 0:55;Lat: 37.0805, Lon: -8.1601;MEDIO;1
ACTIVIDAD;6/9/2025 9:22;Accion: Logout, Objetivo: Sistema;BAJO;1
ACTIVIDAD;5/31/2025 1:33;Accion: Logout, Objetivo: Producto;MEDIO;3
ACTIVIDAD;8/31/2025 14:59;Accion: Logout, Objetivo: Producto;ALTO;3
UBICACION;9/28/2025 6:18;Lat: 38.4143, Lon: 0.0513;ALTO;1
